key,scopes,event,comment
on_startup,this = character root = character,character_event,Fires on game load (game start and loading from saves) for ALL characters (not only the player). Note: not called for ruler designed characters. Also see on_chronicle_start.
on_yearly_pulse,this = character root = character,character_event,Fires every year.
on_bi_yearly_pulse,this = character root = character,character_event,Fires every two years.
on_five_year_pulse,this = character root = character,character_event,Fires every five years.
on_decade_pulse,this = character root = character,character_event,Fires every ten years.
on_yearly_childhood_pulse,this = character root = character,character_event,Fires every year from 2 to 16 years old. Maybe based on defines?
on_childhood_pulse,this = character root = character,character_event,"Fires at ages 6.5, 8.5, and 10.5."
on_adolescence_pulse,this = character root = character,character_event,Fires at ages 12.5 and 14.5.
on_focus_pulse,this = character root = character,character_event,Fires every year for characters with a focus.
on_province_major_modifier,this = province root = province,province_event,Fires when a province modifier with major = yes is removed.
on_outbreak,this = province root = province,province_event,"Fires when a new outbreak starts. ROOT is the province, token_data is the disease name."
on_combat_pulse,this = character root = character from = character fromfrom = character,character_event,FROM is the opposing army's commander? FROMFROM is the opposing army's liege?
on_combat_starting,this = character root = character from = character fromfrom = character,character_event,"FROM is the character who is the commander of the opposing side, FROMFROM is the character who is the liege of the commander of the opposing side."
on_siege_pulse,this = character root = character,character_event,"Fires for both the attacking and defending siege leaders roughly every 10 days, attacker first. ROOT is the appropriate siege leader."
on_battle_won,this = character root = character,character_event,"ROOT is any commander except the leader on winning side, FROM is the opponent army leader."
on_major_battle_won,this = character root = character,character_event,"ROOT is any commander except the leader on winning side, FROM is the opponent army leader."
on_battle_won_leader,this = character root = character,character_event,"ROOT is the leader on winning side, FROM is the opponent army leader."
on_major_battle_won_leader,this = character root = character,character_event,"ROOT is the leader on winning side, FROM is the opponent army leader."
on_battle_won_owner,this = character root = character,character_event,"ROOT is winning army owner, FROM is opponent army owner."
on_battle_lost,this = character root = character,character_event,"ROOT is any commander except the leader on losing side, FROM is the opponent army leader."
on_major_battle_lost,this = character root = character,character_event,"ROOT is any commander except the leader on losing side, FROM is the opponent army leader."
on_battle_lost_leader,this = character root = character,character_event,"ROOT is the leader on losing side, FROM is the opponent army leader."
on_major_battle_lost_leader,this = character root = character,character_event,"ROOT is the leader on losing side, FROM is the opponent army leader."
on_battle_lost_owner,this = character root = character,character_event,"ROOT is losing army owner, FROM is opponent army owner."
on_siege_won_leader,this = character root = character from = title,character_event,"ROOT is the siege attacker, FROM is the barony won."
