key,scopes,event,comment
on_new_term_election,THIS = country ROOT = country,country_event,
on_ace_promoted,THIS = country root = country FROM = any,country_event,
on_aces_killed_each_other,THIS = country root = country FROM = any prev = any,country_event,
on_ace_killed_by_ace,THIS = country root = country FROM = any prev = any,country_event,
on_ace_killed_other_ace,THIS = country root = country FROM = any prev = any,country_event,
on_ace_killed,THIS = country root = country FROM = any,country_event,
,,,
on_justifying_wargoal_pulse,THIS = country ROOT = country FROM = country,country_event,
on_wargoal_expire,THIS = country ROOT = country FROM = country,country_event,
on_nuke_drop,THIS = country ROOT = country FROM = state,country_event,
on_border_war_lost,THIS = country ROOT = country,country_event,
on_leave_faction,THIS = country ROOT = country,country_event,
on_create_faction,THIS = country ROOT = country ROOT = country,country_event,
on_offer_join_faction,THIS = country ROOT = country FROM = country,country_event,
on_join_faction,THIS = country ROOT = country FROM = country,country_event,
on_declare_war,THIS = country ROOT = country FROM = country,country_event,
on_faction_formed,THIS = country ROOT = country,country_event,
on_capitulation,THIS = country ROOT = country FROM = country,country_event,
on_uncapitulation,THIS = country ROOT = country,country_event,
on_government_change,THIS = country ROOT = country,country_event,
on_ruling_party_change,THIS = country ROOT = country,country_event,
on_coup_succeeded,THIS = country ROOT = country,country_event,
on_civil_war_end,THIS = country ROOT = country FROM = country,country_event,
on_puppet,THIS = country ROOT = country FROM = country,country_event,
on_release_as_puppet,THIS = country ROOT = country FROM = country,country_event,
on_annex,THIS = country ROOT = country FROM = country,country_event,
on_subject_free,THIS = country ROOT = country FROM = country,country_event,
on_subject_autonomy_level_change,THIS = country ROOT = country FROM = country,country_event,
on_subject_annexed,THIS = country ROOT = country FROM = country,country_event,
on_release_as_free,THIS = country ROOT = country FROM = country,country_event,
on_peaceconference_ended,THIS = country ROOT = country FROM = country,country_event,
on_generate_wargoal,THIS = country ROOT = country FROM = country,country_event,
on_guarantee,THIS = country ROOT = country FROM = country,country_event,
on_military_access,THIS = country ROOT = country FROM = country,country_event,
on_offer_military_access,THIS = country ROOT = country FROM = country,country_event,
on_call_allies,THIS = country ROOT = country FROM = country,country_event,
on_join_allies,THIS = country ROOT = country FROM = country,country_event,
on_lend_lease,THIS = country ROOT = country FROM = country,country_event,
on_incoming_lend_lease,THIS = country ROOT = country FROM = country,country_event,
on_incoming_lend_lease,THIS = country ROOT = country FROM = country,country_event,
on_send_volunteers,THIS = country ROOT = country FROM = country,country_event,
on_send_expeditionary_force,THIS = country ROOT = country FROM = country,country_event,
on_return_expeditionary_forces,THIS = country ROOT = country FROM = country,country_event,
on_request_expeditionary_forces,THIS = country ROOT = country FROM = country,country_event,
on_ask_for_state_control,THIS = country ROOT = country FROM = country,country_event,
on_give_state_control,THIS = country ROOT = country FROM = country,country_event,
on_war_relation_added,THIS = country ROOT = country FROM = country,country_event,
on_liberate,THIS = country ROOT = country FROM = country,country_event,
,,,
on_startup,THIS = no_scope ROOT = no_scope,,
on_daily,THIS = country ROOT = country,country_event,
on_weekly,THIS = country ROOT = country,country_event,
on_monthly,THIS = country ROOT = country,country_event,
on_yearly,THIS = country ROOT = country,country_event,
on_bi_yearly_pulse,THIS = country ROOT = country,country_event,
on_thri_yearly_pulse,THIS = country ROOT = country,country_event,
,,,
on_state_control_changed,THIS = country FROM = country FROMFROM = state,country_event,
,,,
on_unit_leader_created,THIS = unit_leader ROOT = unit_leader,unit_leader_event,
on_unit_leader_level_up,THIS = unit_leader ROOT = unit_leader,unit_leader_event,
,,,
on_army_leader_daily,THIS = unit_leader ROOT = unit_leader FROM = country,unit_leader_event,
on_army_leader_won_combat,THIS = unit_leader ROOT = unit_leader FROM = country,unit_leader_event,
on_army_leader_lost_combat,THIS = unit_leader ROOT = unit_leader FROM = country,unit_leader_event,
on_army_leader_promoted,THIS = unit_leader ROOT = unit_leader,unit_leader_event,
,,,
on_host_changed_from_capitulation,THIS = country ROOT = country FROM = country FROMFROM = country,country_event,
on_exile_government_reinstated,THIS = country ROOT = country FROM = country FROMFROM = country,country_event,
on_civil_war_end_before_annexation,THIS = country ROOT = country FROM = country,country_event,
on_government_exiled,THIS = country ROOT = country,country_event,
on_pride_of_the_fleet_sunk,THIS = country ROOT = country FROM = country,country_event,
on_assume_faction_leadership,THIS = country ROOT = country FROM = country,country_event,
on_war,THIS = country ROOT = country,country_event,
on_peace,THIS = country ROOT = country,country_event,
on_peace_proposal,THIS = country ROOT = country,country_event,
,,,
on_operative_on_mission_spotted,THIS = unit_leader ROOT = country FROM = country,operative_leader_event,
on_operative_captured,THIS = unit_leader ROOT = country FROM = country,operative_leader_event,
on_operative_death,THIS = unit_leader ROOT = country FROM = country,operative_leader_event,
on_operative_detected_during_operation,THIS = unit_leader ROOT = unit_leader FROM = unit_leader FROMFROM = state,operative_leader_event,
on_operative_created,THIS = unit_leader ROOT = unit_leader FROM = country,operative_leader_event,
on_operative_recruited,THIS = unit_leader ROOT = unit_leader FROM = country,operative_leader_event,
on_operation_completed,THIS = operation ROOT = country FROM = country,operative_leader_event,
on_fully_decrypted_cipher,THIS = country ROOT = country FROM = country,country_event,
on_activated_active_decryption_bonuses,THIS = country ROOT = country FROM = country,country_event,
,,,
on_naval_invasion,THIS = state ROOT = country FROM = state,,
on_paradrop,THIS = state ROOT = country FROM = state,,
