Tag: blank_modifier, Categories: 2
Tag: pop_political_power, Categories: 2
Tag: pop_happiness, Categories: 2
Tag: biological_pop_happiness, Categories: 2
Tag: lithoid_pop_happiness, Categories: 2
Tag: pop_housing_usage_base, Categories: 2
Tag: pop_housing_usage_add, Categories: 2
Tag: pop_housing_usage_mult, Categories: 2
Tag: pop_amenities_usage_base, Categories: 2
Tag: pop_amenities_usage_add, Categories: 2
Tag: pop_amenities_usage_mult, Categories: 2
Tag: pop_amenities_usage_no_happiness_base, Categories: 2
Tag: pop_amenities_usage_no_happiness_add, Categories: 2
Tag: pop_amenities_usage_no_happiness_mult, Categories: 2
Tag: pop_decline_speed, Categories: 2
Tag: pop_purge_speed, Categories: 2
Tag: pop_growth_from_immigration, Categories: 2048
Tag: pop_growth_speed, Categories: 2048
Tag: pop_growth_speed_reduction, Categories: 2048
Tag: bio_pop_growth_from_immigration, Categories: 2048
Tag: bio_pop_growth_speed, Categories: 2048
Tag: bio_pop_growth_speed_reduction, Categories: 2048
Tag: lith_pop_growth_from_immigration, Categories: 2048
Tag: lith_pop_growth_speed, Categories: 2048
Tag: lith_pop_growth_speed_reduction, Categories: 2048
Tag: pop_assembly_speed, Categories: 2
Tag: pop_environment_tolerance, Categories: 131072
Tag: pop_government_ethic_attraction, Categories: 2
Tag: pop_ethics_shift_speed_mult, Categories: 2
Tag: pop_citizen_happiness, Categories: 2
Tag: force_disparity_fire_rate_mult, Categories: 16508
Tag: ship_hull_add, Categories: 16508
Tag: ship_hull_mult, Categories: 16508
Tag: ship_hull_regen_add_perc, Categories: 16508
Tag: ship_hull_regen_add_static, Categories: 16508
Tag: ship_hull_damage_mult, Categories: 16508
Tag: ship_armor_add, Categories: 16508
Tag: ship_armor_mult, Categories: 16508
Tag: ship_armor_reduction, Categories: 16508
Tag: ship_armor_regen_add_perc, Categories: 16508
Tag: ship_armor_regen_add_static, Categories: 16508
Tag: ship_armor_damage_mult, Categories: 16508
Tag: ship_armor_penetration_mult, Categories: 16508
Tag: ship_shield_add, Categories: 16508
Tag: ship_shield_mult, Categories: 16508
Tag: ship_shield_reduction, Categories: 16508
Tag: ship_shield_regen_add_perc, Categories: 16508
Tag: ship_shield_regen_add_static, Categories: 16508
Tag: ship_shield_damage_mult, Categories: 16508
Tag: ship_shield_penetration_mult, Categories: 16508
Tag: ship_weapon_damage, Categories: 16508
Tag: ship_weapon_range_mult, Categories: 16508
Tag: ship_engagement_range_mult, Categories: 16508
Tag: ship_orbital_bombardment_mult, Categories: 16508
Tag: ship_fire_rate_mult, Categories: 16508
Tag: ship_home_territory_fire_rate_mult, Categories: 16508
Tag: ship_piracy_suppression_add, Categories: 16508
Tag: ship_piracy_suppression_mult, Categories: 16508
Tag: ship_hyperlane_range_add, Categories: 16508
Tag: ship_ftl_jumpdrive_range_mult, Categories: 16508
Tag: ship_emergency_ftl_min_days_add, Categories: 16508
Tag: ship_emergency_ftl_min_days_mult, Categories: 16508
Tag: ship_disengage_chance_mult, Categories: 16508
Tag: ship_disengage_chance_reduction, Categories: 16508
Tag: ship_evasion_add, Categories: 16508
Tag: ship_evasion_mult, Categories: 16508
Tag: ship_accuracy_add, Categories: 16508
Tag: ship_accuracy_mult, Categories: 16508
Tag: ship_tracking_add, Categories: 16508
Tag: ship_tracking_mult, Categories: 16508
Tag: ship_base_speed_mult, Categories: 16508
Tag: ship_speed_mult, Categories: 16508
Tag: ship_speed_reduction, Categories: 16508
Tag: ship_landing_time_mult, Categories: 16508
Tag: ship_orbit_upkeep_mult, Categories: 16496
Tag: ship_sensor_range_add, Categories: 16508
Tag: ship_windup_mult, Categories: 16508
Tag: ship_winddown_mult, Categories: 16508
Tag: ship_interstellar_speed_mult, Categories: 16508
Tag: ship_emergency_ftl_mult, Categories: 16508
Tag: ship_anomaly_fail_risk, Categories: 64
Tag: ship_anomaly_research_speed_mult, Categories: 64
Tag: ship_anomaly_generation_chance_mult, Categories: 64
Tag: science_ship_survey_speed, Categories: 64
Tag: ship_starting_experience_add, Categories: 16508
Tag: ship_experience_gain_mult, Categories: 16508
Tag: ship_jumpdrive_cooldown_mult, Categories: 16508
Tag: army_disengage_chance_mult, Categories: 16508
Tag: army_starting_experience_add, Categories: 512
Tag: army_health, Categories: 512
Tag: army_morale, Categories: 512
Tag: army_damage_mult, Categories: 512
Tag: army_collateral_damage_mult, Categories: 512
Tag: army_morale_damage_mult, Categories: 512
Tag: army_defense_morale_mult, Categories: 512
Tag: army_defense_damage_mult, Categories: 512
Tag: army_attack_morale_mult, Categories: 512
Tag: army_attack_damage_mult, Categories: 512
Tag: army_attack_health_mult, Categories: 512
Tag: army_defense_health_mult, Categories: 512
Tag: army_experience_gain_mult, Categories: 512
Tag: planet_non_artificial_max_districts_add, Categories: 2048
Tag: planet_max_districts_add, Categories: 2048
Tag: planet_max_districts_mult, Categories: 2048
Tag: planet_max_buildings_add, Categories: 2048
Tag: planet_max_branch_office_buildings_add, Categories: 2048
Tag: planet_pop_assembly_add, Categories: 2048
Tag: planet_pop_assembly_mult, Categories: 2048
Tag: planet_pop_assembly_reduction, Categories: 2048
Tag: planet_pop_assembly_organic_add, Categories: 2048
Tag: planet_pop_assembly_organic_mult, Categories: 2048
Tag: planet_pop_assembly_organic_reduction, Categories: 2048
Tag: planet_amenities_add, Categories: 2048
Tag: planet_amenities_mult, Categories: 2048
Tag: planet_amenities_no_happiness_add, Categories: 2048
Tag: planet_amenities_no_happiness_mult, Categories: 2048
Tag: planet_stability_add, Categories: 2048
Tag: planet_crime_add, Categories: 2048
Tag: planet_crime_mult, Categories: 2048
Tag: planet_crime_no_happiness_add, Categories: 2048
Tag: planet_crime_no_happiness_mult, Categories: 2048
Tag: planet_housing_add, Categories: 2048
Tag: planet_housing_mult, Categories: 2048
Tag: planet_carry_cap_add, Categories: 2048
Tag: planet_sensor_range_add, Categories: 2048
Tag: planet_colony_development_speed_mult, Categories: 2048
Tag: building_time_mult, Categories: 2048
Tag: planet_building_refund_mult, Categories: 2048
Tag: planet_building_build_speed_mult, Categories: 2048
Tag: planet_decision_enact_speed_mult, Categories: 2048
Tag: planet_clear_blocker_time_mult, Categories: 2048
Tag: planet_migration_all_mult, Categories: 2048
Tag: planet_resettlement_unemployed_mult, Categories: 2048
Tag: planet_immigration_pull_add, Categories: 2048
Tag: planet_immigration_pull_mult, Categories: 2048
Tag: planet_emigration_push_add, Categories: 2048
Tag: planet_emigration_push_mult, Categories: 2048
Tag: planet_army_build_speed_mult, Categories: 2048
